@relation OPENJPA_trainingSet13-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Age numeric
@attribute 'Revision number' numeric
@attribute 'Fix number' numeric
@attribute 'Author Number' numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute churn numeric
@attribute MAX_churn numeric
@attribute Buggyness {no,yes}

@data
62,62,17,2,0,1,62,62,31,62,62,no
100,100,17,2,0,1,100,100,50,100,100,no
211,218,17,4,0,2,215,211,53.75,212,211,no
257,261,17,3,0,2,259,257,86.333333,257,257,no
147,154,17,4,0,2,151,147,37.75,148,147,no
50,50,17,3,0,1,50,49,16.666667,50,49,no
603,633,17,3,0,2,618,609,206,615,609,no
873,981,17,7,0,3,927,900,132.428571,933,900,no
52,62,17,3,0,2,57,50,19,52,50,no
58,58,17,2,0,1,58,58,29,58,58,no
158,158,17,2,0,1,158,158,79,158,158,no
61,69,17,3,0,1,65,65,21.666667,69,65,no
135,135,17,2,0,1,135,135,67.5,135,135,no
189,189,17,2,0,1,189,189,94.5,189,189,no
376,464,17,3,0,1,420,384,140,392,384,no
259,293,17,4,0,2,276,262,69,265,262,no
32,32,17,2,0,1,32,32,16,32,32,no
243,245,17,4,0,2,244,233,61,243,233,yes
42,42,17,2,0,1,42,42,21,42,42,no
126,134,17,4,0,2,130,127,32.5,128,127,no
58,64,17,3,0,2,61,58,20.333333,58,58,no
168,170,17,3,0,2,169,168,56.333333,168,168,no
172,176,17,4,0,2,174,164,43.5,172,164,yes
322,534,17,7,0,3,428,285,61.142857,332,285,yes
46,46,17,2,0,1,46,46,23,46,46,no
38,38,17,2,0,1,38,38,19,38,38,no
96,118,17,4,0,2,107,106,26.75,116,106,no
1383,2057,17,10,0,3,1720,1458,172,1559,1458,yes
628,824,17,6,0,2,726,636,121,644,636,no
43,43,17,2,0,1,43,43,21.5,43,43,no
455,477,17,3,0,2,466,457,155.333333,459,457,no
360,386,17,3,0,2,373,369,124.333333,378,369,no
217,217,17,2,0,1,217,217,108.5,217,217,no
441,471,17,4,0,3,456,445,114,449,445,yes
177,177,17,2,0,1,177,177,88.5,177,177,yes
44,44,17,2,0,1,44,44,22,44,44,no
127,153,17,4,0,1,140,129,35,131,129,no
70,80,17,3,0,2,75,70,25,70,70,no
128,130,17,3,0,1,129,129,43,130,129,no
257,275,17,4,0,2,266,263,66.5,269,263,no
156,180,17,3,0,2,168,166,56,176,166,no
625,631,17,4,0,1,628,625,157,625,625,no
40,40,17,2,0,1,40,40,20,40,40,no
200,200,17,2,0,1,200,200,100,200,200,no
45,66,17,3,0,2,56,54,18.666667,62,54,no
74,97,17,5,0,2,86,61,17.2,75,61,no
193,255,17,6,0,2,224,192,37.333333,193,192,no
33,34,17,2,0,1,34,34,17,34,34,no
91,117,17,4,0,2,104,91,26,91,91,no
33,34,17,2,0,1,34,34,17,34,34,no
180,226,17,4,0,2,203,178,50.75,180,178,no
40,43,17,3,0,2,42,41,14,41,41,no
79,101,17,4,0,2,90,79,22.5,79,79,no
80,98,17,4,0,2,89,81,22.25,82,81,no
134,168,17,4,0,2,151,134,37.75,134,134,no
101,131,17,4,0,2,116,101,29,101,101,no
173,234,17,5,0,2,204,171,40.8,174,171,no
204,280,17,5,0,2,242,211,48.4,218,211,no
83,93,17,3,0,2,88,83,29.333333,83,83,no
76,98,17,4,0,2,87,77,21.75,78,77,no
185,195,17,4,0,2,190,178,47.5,185,178,no
62,70,17,3,0,2,66,66,22,70,66,no
46,46,17,2,0,1,46,46,23,46,46,no
54,59,17,4,0,2,57,56,14.25,57,56,no
70,76,17,3,0,2,73,70,24.333333,70,70,no
44,53,17,3,0,2,49,49,16.333333,53,49,no
55,73,17,4,0,2,64,57,16,59,57,no
202,246,17,4,0,2,224,202,56,202,202,no
75,91,17,3,0,2,83,75,27.666667,75,75,no
72,100,17,4,0,2,86,83,21.5,94,83,no
237,311,17,6,0,2,274,232,45.666667,237,232,no
103,103,17,2,0,1,103,103,51.5,103,103,no
101,111,17,3,0,2,106,101,35.333333,101,101,no
80,80,17,2,0,1,80,80,40,80,80,no
213,213,17,1,0,1,213,213,213,213,213,no
181,232,17,4,0,2,207,184,51.75,186,184,no
30,42,17,2,0,1,36,29,18,30,29,no
175,219,17,5,0,2,197,176,39.4,177,176,yes
44,44,17,2,0,1,44,44,22,44,44,no
79,109,17,4,0,2,94,79,23.5,79,79,no
44,44,17,2,0,1,44,44,22,44,44,no
164,225,17,5,0,2,195,163,39,167,163,no
152,177,17,6,0,2,165,154,27.5,155,154,no
71,97,17,4,0,2,84,72,21,73,72,no
71,95,17,4,0,2,83,72,20.75,73,72,no
42,42,17,2,0,1,42,42,21,42,42,no
449,511,17,7,0,3,480,450,68.571429,465,450,no
44,44,17,2,0,1,44,44,22,44,44,no
29,29,17,2,0,1,29,29,14.5,29,29,no
53,57,17,3,0,2,55,54,18.333333,55,54,no
58,62,17,3,0,2,60,59,20,60,59,no
87,95,17,3,0,2,91,87,30.333333,87,87,no
133,161,17,4,0,2,147,133,36.75,133,133,no
165,220,17,5,0,2,193,163,38.6,166,163,no
40,43,17,3,0,2,42,41,14,41,41,no
40,43,17,3,0,2,42,41,14,41,41,no
85,109,17,4,0,2,97,86,24.25,87,86,no
76,92,17,3,0,2,84,76,28,76,76,no
72,94,17,4,0,2,83,73,20.75,74,73,no
53,59,17,3,0,2,56,53,18.666667,53,53,no
107,133,17,4,0,2,120,107,30,107,107,no
680,734,17,7,0,2,707,633,101,682,633,no
117,125,17,3,0,2,121,117,40.333333,117,117,no
68,72,17,3,0,2,70,69,23.333333,70,69,no
38,38,17,2,0,1,38,38,19,38,38,no
36,36,17,2,0,1,36,36,18,36,36,no
344,444,17,9,0,2,394,352,43.777778,370,352,no
57,69,17,4,0,2,63,58,15.75,59,58,no
40,41,17,2,0,1,41,41,20.5,41,41,no
266,308,17,4,0,2,287,266,71.75,266,266,no
139,188,17,5,0,2,164,138,32.8,140,138,no
60,61,17,2,0,1,61,61,30.5,61,61,no
222,342,17,5,0,2,282,238,56.4,254,238,no
159,220,17,5,0,2,190,158,38,162,158,no
51,53,17,3,0,2,52,51,17.333333,51,51,no
48,49,17,2,0,1,49,49,24.5,49,49,no
48,49,17,2,0,1,49,49,24.5,49,49,no
198,253,17,5,0,2,226,196,45.2,199,196,no
165,228,17,6,0,2,197,171,32.833333,180,171,no
156,192,17,4,0,2,174,161,43.5,166,161,no
192,230,17,4,0,2,211,188,52.75,192,188,no
957,957,17,2,0,1,957,957,478.5,957,957,no
341,341,17,2,0,1,341,341,170.5,341,341,no
112,112,17,2,0,1,112,112,56,112,112,no
125,125,17,2,0,1,125,125,62.5,125,125,no
411,419,17,3,0,2,415,383,138.333333,411,383,no
173,173,17,2,0,1,173,173,86.5,173,173,no
69,73,17,3,0,2,71,69,23.666667,69,69,no
82,86,17,3,0,2,84,82,28,82,82,no
1010,1052,17,3,0,2,1031,1013,343.666667,1016,1013,yes
329,329,17,2,0,1,329,329,164.5,329,329,no
244,264,17,3,0,2,254,245,84.666667,246,245,no
84,84,17,2,0,1,84,84,42,84,84,no
43,43,17,2,0,1,43,43,21.5,43,43,no
69,69,17,2,0,1,69,69,34.5,69,69,no
64,64,17,2,0,1,64,64,32,64,64,no
161,173,17,3,0,2,167,161,55.666667,161,161,no
86,86,17,2,0,1,86,86,43,86,86,no
304,304,17,2,0,1,304,304,152,304,304,no
703,703,17,2,0,1,703,703,351.5,703,703,no
1749,1765,17,4,0,1,1757,1748,439.25,1751,1748,no
1179,1235,17,5,0,2,1207,1135,241.4,1181,1135,no
68,68,17,2,0,1,68,68,34,68,68,no
1122,1290,17,7,0,3,1206,1104,172.285714,1138,1104,yes
139,139,17,2,0,1,139,139,69.5,139,139,no
163,163,17,2,0,1,163,163,81.5,163,163,no
60,60,17,2,0,1,60,60,30,60,60,no
231,231,17,2,0,1,231,231,115.5,231,231,no
606,610,17,3,0,1,608,608,202.666667,610,608,no
135,135,17,2,0,1,135,135,67.5,135,135,no
34,35,17,2,0,1,35,35,17.5,35,35,no
160,160,17,2,0,1,160,160,80,160,160,no
2053,2059,17,3,0,2,2056,2053,685.333333,2053,2053,no
93,93,17,2,0,1,93,93,46.5,93,93,no
149,149,17,2,0,1,149,149,74.5,149,149,no
131,131,17,2,0,1,131,131,65.5,131,131,no
67,67,17,2,0,1,67,67,33.5,67,67,no
99,103,17,3,0,2,101,99,33.666667,99,99,no
265,273,17,3,0,2,269,265,89.666667,265,265,no
534,540,17,3,0,1,537,536,179,538,536,no
318,318,17,2,0,1,318,318,159,318,318,no
365,365,17,2,0,1,365,365,182.5,365,365,no
86,94,17,3,0,1,90,90,30,94,90,no
74,74,17,2,0,1,74,74,37,74,74,no
79,79,17,2,0,1,79,79,39.5,79,79,no
89,93,17,3,0,2,91,89,30.333333,89,89,no
173,193,17,3,0,2,183,174,61,175,174,no
78,78,17,2,0,1,78,78,39,78,78,no
58,62,17,3,0,2,60,58,20,58,58,no
67,67,17,2,0,1,67,67,33.5,67,67,no
48,48,17,2,0,1,48,48,24,48,48,no
59,59,17,2,0,1,59,59,29.5,59,59,no
80,80,17,2,0,1,80,80,40,80,80,no
63,63,17,2,0,1,63,63,31.5,63,63,no
123,125,17,3,0,1,124,123,41.333333,123,123,no
48,48,17,2,0,1,48,48,24,48,48,no
262,262,17,2,0,1,262,262,131,262,262,no
130,132,17,3,0,2,131,124,43.666667,130,124,no
1571,1597,17,3,0,2,1584,1573,528,1575,1573,no
169,177,17,3,0,2,173,169,57.666667,169,169,no
92,92,17,2,0,1,92,92,46,92,92,no
65,65,17,2,0,1,65,65,32.5,65,65,no
133,133,17,2,0,1,133,133,66.5,133,133,no
399,425,17,3,0,2,412,401,137.333333,403,401,no
254,274,17,3,0,2,264,255,88,256,255,no
257,265,17,3,0,2,261,258,87,259,258,no
83,83,17,2,0,1,83,83,41.5,83,83,no
95,95,17,2,0,1,95,95,47.5,95,95,no
145,151,17,3,0,2,148,144,49.333333,145,144,no
96,102,17,3,0,2,99,96,33,96,96,no
149,163,17,3,0,2,156,149,52,149,149,no
230,251,17,3,0,2,241,234,80.333333,237,234,no
421,466,17,3,0,2,444,430,148,438,430,no
174,192,17,3,0,2,183,175,61,176,175,no
104,104,17,2,0,1,104,104,52,104,104,no
93,93,17,2,0,1,93,93,46.5,93,93,no
110,110,17,2,0,1,110,110,55,110,110,no
80,80,17,2,0,1,80,80,40,80,80,no
258,270,17,3,0,2,264,260,88,262,260,no
86,86,17,2,0,1,86,86,43,86,86,no
55,55,17,2,0,1,55,55,27.5,55,55,no
51,51,17,2,0,1,51,51,25.5,51,51,no
52,52,17,2,0,1,52,52,26,52,52,no
60,60,17,2,0,1,60,60,30,60,60,no
46,46,17,2,0,1,46,46,23,46,46,no
81,81,17,2,0,1,81,81,40.5,81,81,no
399,409,17,3,0,2,404,400,134.666667,401,400,no
84,85,17,2,0,1,85,85,42.5,85,85,no
94,104,17,3,0,2,99,94,33,94,94,no
93,103,17,3,0,2,98,93,32.666667,93,93,no
730,818,17,6,0,2,774,731,129,742,731,no
167,195,17,3,0,2,181,170,60.333333,173,170,no
167,195,17,3,0,2,181,170,60.333333,173,170,no
207,207,17,2,0,1,207,207,103.5,207,207,yes
311,333,17,4,0,2,322,309,80.5,311,309,no
267,309,17,5,0,2,288,276,57.6,289,276,no
321,321,17,2,0,1,321,321,160.5,321,321,no
518,588,17,3,0,2,553,527,184.333333,536,527,no
256,266,17,3,0,2,261,257,87,258,257,no
162,168,17,3,0,2,165,161,55,162,161,no
61,69,17,3,0,2,65,62,21.666667,63,62,no
48,48,17,2,0,1,48,48,24,48,48,no
43,43,17,2,0,1,43,43,21.5,43,43,no
119,125,17,3,0,2,122,119,40.666667,119,119,no
129,131,17,3,0,1,130,129,43.333333,129,129,no
151,151,17,2,0,1,151,151,75.5,151,151,no
707,707,17,2,0,1,707,707,353.5,707,707,no
287,287,17,2,0,1,287,287,143.5,287,287,no
185,185,17,2,0,1,185,185,92.5,185,185,no
278,284,17,3,0,1,281,281,93.666667,284,281,no
63,64,17,2,0,1,64,64,32,64,64,no
143,143,17,2,0,1,143,143,71.5,143,143,no
100,100,17,2,0,1,100,100,50,100,100,no
684,688,17,3,0,1,686,683,228.666667,684,683,no
82,82,17,2,0,1,82,82,41,82,82,no
190,190,17,2,0,1,190,190,95,190,190,no
184,184,17,2,0,1,184,184,92,184,184,no
74,76,17,3,0,1,75,73,25,74,73,no
82,82,17,2,0,1,82,82,41,82,82,no
39,39,17,2,0,1,39,39,19.5,39,39,no
259,259,17,2,0,1,259,259,129.5,259,259,no
39,39,17,2,0,1,39,39,19.5,39,39,no
944,948,17,3,0,1,946,943,315.333333,944,943,no
400,402,17,3,0,1,401,401,133.666667,402,401,no
62,62,17,2,0,1,62,62,31,62,62,no
78,78,17,2,0,1,78,78,39,78,78,no
1523,1523,17,2,0,1,1523,1523,761.5,1523,1523,no
232,232,17,2,0,1,232,232,116,232,232,no
206,212,17,3,0,1,209,209,69.666667,212,209,no
186,195,17,3,0,2,191,180,63.666667,187,180,no
689,695,17,3,0,1,692,692,230.666667,695,692,no
493,493,17,2,0,1,493,493,246.5,493,493,no
53,53,17,2,0,1,53,53,26.5,53,53,no
602,606,17,3,0,1,604,601,201.333333,602,601,no
442,446,17,3,0,1,444,444,148,446,444,no
95,95,17,2,0,1,95,95,47.5,95,95,no
846,864,17,4,0,2,855,847,213.75,848,847,no
151,151,17,2,0,1,151,151,75.5,151,151,no
92,93,17,2,0,1,93,93,46.5,93,93,no
42,42,17,2,0,1,42,42,21,42,42,no
35,35,17,2,0,1,35,35,17.5,35,35,no
144,144,17,2,0,1,144,144,72,144,144,yes
3729,3793,17,7,0,2,3761,3721,537.285714,3737,3721,yes
592,592,17,2,0,1,592,592,296,592,592,no
93,93,17,2,0,1,93,93,46.5,93,93,no
171,171,17,2,0,1,171,171,85.5,171,171,no
58,58,17,2,0,1,58,58,29,58,58,no
159,159,17,2,0,1,159,159,79.5,159,159,no
310,316,17,3,0,2,313,309,104.333333,310,309,no
253,253,17,2,0,1,253,253,126.5,253,253,no
115,115,17,2,0,1,115,115,57.5,115,115,no
112,112,17,2,0,1,112,112,56,112,112,no
189,192,17,3,0,2,191,151,63.666667,190,151,no
403,403,17,2,0,1,403,403,201.5,403,403,no
39,39,17,2,0,1,39,39,19.5,39,39,no
72,80,17,3,0,2,76,71,25.333333,72,71,no
912,968,17,5,0,2,940,900,188,916,900,yes
533,545,17,4,0,2,539,534,134.75,535,534,no
166,166,17,2,0,1,166,166,83,166,166,yes
1012,1032,17,4,0,2,1022,1019,255.5,1026,1019,yes
124,124,17,2,0,1,124,124,62,124,124,no
376,376,17,2,0,1,376,376,188,376,376,yes
430,434,17,3,0,1,432,432,144,434,432,no
35,35,17,2,0,1,35,35,17.5,35,35,no
572,578,17,3,0,2,575,572,191.666667,572,572,no
488,488,17,2,0,1,488,488,244,488,488,no
520,520,17,2,0,1,520,520,260,520,520,no
940,941,17,2,0,1,941,941,470.5,941,941,no
71,71,17,2,0,1,71,71,35.5,71,71,no
254,262,17,3,0,1,258,258,86,262,258,no
608,609,17,2,0,1,609,609,304.5,609,609,no
112,112,17,3,0,1,112,103,37.333333,112,103,no
43,43,17,2,0,1,43,43,21.5,43,43,no
60,60,17,2,0,1,60,60,30,60,60,no
124,124,17,2,0,1,124,124,62,124,124,no
184,184,17,2,0,1,184,184,92,184,184,no
681,723,17,5,0,2,702,668,140.4,681,668,yes
122,122,17,2,0,1,122,122,61,122,122,no
2834,3041,17,7,0,2,2938,2795,419.714286,2841,2795,yes
33,33,17,2,0,1,33,33,16.5,33,33,no
298,298,17,2,0,1,298,298,149,298,298,no
76,76,17,2,0,1,76,76,38,76,76,no
60,60,17,1,0,1,60,60,60,60,60,no
193,791,17,8,0,2,492,219,61.5,281,219,yes
68,232,17,7,0,2,150,65,21.428571,72,65,no
138,410,17,5,0,1,274,127,54.8,140,127,no
518,1680,17,7,0,3,1099,507,157,552,507,no
87,269,17,6,0,2,178,82,29.666667,93,82,no
88,294,17,7,0,2,191,86,27.285714,110,86,no
71,311,17,6,0,1,191,82,31.833333,111,82,yes
91,283,17,9,0,2,187,42,20.777778,111,43,no
139,439,17,4,0,1,289,136,72.25,139,136,no
157,471,17,4,0,1,314,149,78.5,157,149,no
1364,4178,17,9,0,3,2771,1324,307.888889,1380,1324,yes
1433,4479,17,14,0,3,2956,1352,211.142857,1483,1352,yes
140,294,17,7,0,2,217,58,31,142,58,no
63,217,17,5,0,2,140,65,28,73,65,no
127,444,17,10,0,2,286,123,28.6,168,123,no
139,413,17,5,0,1,276,132,55.2,139,132,no
